"","Var1","Freq"
"1","2009-11-22",1
"2","2011-04-12",1
"3","2011-04-17",1
"4","2011-05-11",2
"5","2011-05-19",1
"6","2011-06-12",2
"7","2011-06-29",1
"8","2011-06-30",4
"9","2011-07-04",6
"10","2011-07-05",7
"11","2011-07-06",42
"12","2011-07-07",23
"13","2011-07-08",3
"14","2011-07-19",2
"15","2011-08-05",64
"16","2011-08-06",7
"17","2011-08-07",10
"18","2011-08-08",24
"19","2011-08-17",5
"20","2011-08-18",6
"21","2011-09-20",9578
"22","2011-09-25",62
"23","2011-09-27",7
"24","2011-10-29",2
"25","2011-10-30",47
"26","2011-12-01",81
"27","2011-12-20",13
"28","2011-12-29",17
"29","2012-03-01",3
"30","2012-03-02",4
"31","2012-03-19",20
"32","2012-03-20",18
"33","2012-04-20",10
"34","2012-04-30",1
"35","2012-08-18",3
"36","2012-09-09",9
"37","2012-10-12",107
"38","2012-10-14",3
"39","2012-10-21",3
"40","2012-10-24",253
"41","2012-11-03",77
"42","2012-11-07",39
"43","2012-11-08",42
"44","2012-11-16",620
"45","2012-12-02",19
"46","2012-12-09",1
"47","2012-12-20",70
"48","2012-12-29",5
"49","2013-02-03",60
"50","2013-02-04",8
"51","2013-02-05",5
"52","2013-02-06",8
"53","2013-03-27",203
"54","2013-05-10",30
"55","2013-06-09",22
"56","2013-06-19",1
"57","2013-06-25",237
"58","2013-06-26",407
"59","2013-06-27",1109
"60","2013-06-28",215
"61","2013-07-08",2
"62","2013-07-09",3
"63","2013-07-15",1412
"64","2013-07-23",956
"65","2013-07-24",124
"66","2013-07-28",476
"67","2013-07-31",718
"68","2013-08-02",619
"69","2013-08-05",780
"70","2013-08-06",334
"71","2013-08-07",557
"72","2013-08-08",959
"73","2013-08-09",266
"74","2013-08-11",470
"75","2013-08-12",226
"76","2013-08-15",355
"77","2013-08-16",775
"78","2013-08-23",9
"79","2013-08-28",39
"80","2013-09-02",8
"81","2013-09-03",1
"82","2013-09-05",27
"83","2013-09-06",10
"84","2013-09-23",22
"85","2013-09-24",57
"86","2013-09-25",137
"87","2013-09-29",15
"88","2013-10-02",10
"89","2013-10-03",10
"90","2013-10-31",12
"91","2013-11-11",1
"92","2013-11-23",4
"93","2013-11-30",1
"94","2013-12-03",4
"95","2014-01-06",50
"96","2014-01-22",3
"97","2014-01-29",1
"98","2014-01-31",4
"99","2014-02-05",9
"100","2014-03-01",75
"101","2014-03-22",437
"102","2014-03-25",6
"103","2014-04-04",20
"104","2014-04-05",14
"105","2014-04-14",61
"106","2014-04-24",6
"107","2014-04-29",1
"108","2014-05-12",18
"109","2014-05-21",2
"110","2014-06-15",5
"111","2014-06-19",42
"112","2014-07-09",141
"113","2014-07-10",2
"114","2014-07-21",1
"115","2014-07-26",34
"116","2014-08-13",1
"117","2014-08-16",1
"118","2014-08-25",5
"119","2014-08-26",61
"120","2014-08-27",109
"121","2014-09-08",75
"122","2014-09-09",7
"123","2014-09-11",294
"124","2014-09-15",68
"125","2014-09-16",2
"126","2014-09-22",14
"127","2014-09-24",4
"128","2014-10-04",1
"129","2014-10-05",41
"130","2014-10-06",36
"131","2014-10-09",6
"132","2014-10-10",132
"133","2014-10-11",13
"134","2014-10-27",321
"135","2014-10-28",144
"136","2014-10-29",177
"137","2014-10-30",1566
"138","2014-11-04",10
"139","2014-11-06",1
"140","2014-11-09",116
"141","2014-11-11",141
"142","2014-11-15",17
"143","2014-12-08",8
"144","2014-12-09",1
"145","2014-12-14",49
"146","2014-12-15",2
"147","2015-01-30",88
"148","2015-02-19",11
"149","2015-02-21",41
"150","2015-02-23",399
"151","2015-02-25",5
"152","2015-02-28",1
"153","2015-03-01",161
"154","2015-03-03",24
"155","2015-03-07",3
"156","2015-03-14",41
"157","2015-03-17",3
"158","2015-03-18",1
"159","2015-03-25",9
"160","2015-04-12",1
"161","2015-04-15",80
"162","2015-04-25",878
"163","2015-04-26",775
"164","2015-04-27",2896
"165","2015-04-28",566
"166","2015-04-29",3251
"167","2015-04-30",1430
"168","2015-05-01",337
"169","2015-05-02",2537
"170","2015-05-03",2979
"171","2015-05-04",2171
"172","2015-05-05",1036
"173","2015-05-06",1048
"174","2015-05-07",393
"175","2015-05-08",51
"176","2015-05-09",1843
"177","2015-05-10",3
"178","2015-05-11",1
"179","2015-05-13",1638
"180","2015-05-14",1516
"181","2015-05-15",52
"182","2015-05-16",33
"183","2015-05-17",5678
"184","2015-05-18",1165
"185","2015-05-19",582
"186","2015-05-20",2862
"187","2015-05-21",191
"188","2015-05-24",32
"189","2015-05-25",16
"190","2015-05-26",2221
"191","2015-05-27",330
"192","2015-05-29",11
"193","2015-06-01",1394
"194","2015-06-03",5
"195","2015-06-04",15
"196","2015-06-06",1
"197","2015-06-11",995
"198","2015-06-13",50
"199","2015-06-19",1
"200","2015-06-20",2
"201","2015-06-28",2
"202","2015-06-30",20
"203","2015-07-02",2
"204","2015-07-05",4
"205","2015-07-06",56
"206","2015-07-08",615
"207","2015-07-10",1
"208","2015-07-11",8
"209","2015-07-21",2
"210","2015-07-22",107
"211","2015-07-23",64
"212","2015-07-28",25
"213","2015-08-02",117
"214","2015-08-03",73
"215","2015-08-04",34
"216","2015-08-05",1
"217","2015-08-06",1138
"218","2015-08-07",121
"219","2015-08-08",4
"220","2015-08-16",9
"221","2015-08-20",54
"222","2015-08-31",20
"223","2015-09-02",2
"224","2015-09-05",218
"225","2015-09-08",27
"226","2015-09-11",23
"227","2015-09-12",35
"228","2015-09-13",86
"229","2015-09-15",76
"230","2015-09-22",20
"231","2015-09-29",1
"232","2015-10-07",8
"233","2015-10-16",1
"234","2015-10-20",6
"235","2015-10-25",53
"236","2015-10-26",12
"237","2015-10-30",1
"238","2015-11-09",216
"239","2015-11-10",93
"240","2015-11-18",2
"241","2015-11-19",18
"242","2015-11-20",47
"243","2015-11-22",9
"244","2015-12-03",461
"245","2015-12-04",33
"246","2015-12-07",1245
"247","2015-12-14",1
"248","2015-12-16",2
"249","2015-12-20",46
"250","2015-12-22",126
"251","2015-12-26",23
"252","2015-12-27",200
"253","2015-12-28",94
"254","2016-01-01",15
"255","2016-01-03",70
"256","2016-01-04",6
"257","2016-01-07",35
"258","2016-01-10",303
"259","2016-01-11",328
"260","2016-01-21",6
"261","2016-01-31",1
"262","2016-02-07",319
"263","2016-02-09",125
"264","2016-02-10",184
"265","2016-02-13",1
"266","2016-02-14",7
"267","2016-02-15",310
"268","2016-02-16",138
"269","2016-02-17",63
"270","2016-02-18",257
"271","2016-02-19",638
"272","2016-02-21",15
"273","2016-02-22",234
"274","2016-02-23",902
"275","2016-02-24",570
"276","2016-02-25",273
"277","2016-02-26",179
"278","2016-02-28",190
"279","2016-02-29",164
"280","2016-03-01",55
"281","2016-03-05",10
"282","2016-03-08",1
"283","2016-03-09",28
